date,Maize ($/metric tonne),Wheat ($/metric tonne)
2020M01,171.79,224.50
2020M02,168.71,215.32
2020M03,162.42,209.07
2020M04,146.91,218.99
2020M05,143.91,205.76
2020M06,147.99,198.42
2020M07,152.55,222.13
2020M08,149.34,223.00
2020M09,166.08,247.68
2020M10,186.75,272.36
2020M11,190.38,273.00
2020M12,198.77,268.55
2021M01,234.47,289.30
2021M02,245.24,289.40
2021M03,245.17,273.13
2021M04,268.23,280.95
2021M05,305.31,297.25
2021M06,292.56,285.55
2021M07,278.43,294.27
2021M08,256.61,324.52
2021M09,235.62,337.55
2021M10,239.65,354.67
2021M11,248.72,379.45
2021M12,264.54,376.81
2022M01,276.62,374.24
2022M02,292.62,390.50
2022M03,335.53,486.30
2022M04,348.17,495.28
2022M05,344.84,522.29
2022M06,335.71,459.59
2022M07,322.97,382.50
2022M08,289.84,382.86
2022M09,312.66,419.14
2022M10,343.56,437.95