#,Vessel name,IMO,Departure port,Country,Commodity,Tonnage,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
,SEALOCK,8218380,Chornomorsk,Türkiye,Peas,2050,10/30/2022,,:tr:,developing,other developing,Upper middle income,44,October
,SK FRIENDSHIP,8909446,Chornomorsk,Egypt,Soy beans,6600,10/30/2022,,:eg:,developing,other developing,Lower middle income,44,October
,IKARIA ANGEL,9194397,Chornomorsk,Djibouti,Wheat,30000,10/30/2022,,:dj:,developing,least developed,Lower middle income,44,October
1,RAZONI,9086526,Odesa,Mixed,Corn,26527,8/1/2022,8/3/2022,:tr:,developing,other developing,Upper middle income,32,August
2,NAVI STAR,9590979,Odesa,Ireland,Corn,33000,8/5/2022,8/6/2022,:ie:,developed,developed,High income,31,August
3,ROJEN,9754927,Chornomorsk,Italy,Corn,13041,8/5/2022,8/7/2022,:it:,developed,developed,High income,31,August
4,POLARNET,9758961,Chornomorsk,Türkiye,Corn,12000,8/5/2022,8/7/2022,:tr:,developing,other developing,Upper middle income,31,August
5,GLORY,9288473,Chornomorsk,Iran,Corn,66084,8/7/2022,8/9/2022,:ir:,developing,other developing,Lower middle income,31,August
6,STAR HELENA,9361213,Chornomorsk,China,Sunflower meal,45000,8/7/2022,8/9/2022,:cn:,developing,other developing,Upper middle income,31,August
7,RIVA WIND,9301196,Odesa,Türkiye,Corn,44000,8/7/2022,8/9/2022,:tr:,developing,other developing,Upper middle income,31,August
8,MUSTAFA NECATI,9736690,Chornomorsk,Italy,Sunflower oil,6000,8/7/2022,8/10/2022,:it:,developed,developed,High income,31,August
9,ARIZONA,9592733,Chornomorsk,Türkiye,Corn,48459,8/8/2022,8/10/2022,:tr:,developing,other developing,Upper middle income,32,August
10,SACURA,9497000,Yuzhny/Pivdennyi,Italy,Soya beans,11000,8/8/2022,8/10/2022,:it:,developed,developed,High income,32,August
11,OCEAN LION,9296248,Chornomorsk,Republic of Korea,Corn,64720,8/9/2022,8/11/2022,:kr:,developed,developed,High income,32,August
12,RAHMI YAGCI,9550852,Chornomorsk,Türkiye,Sunflower meal,5300,8/9/2022,8/13/2022,:tr:,developing,other developing,Upper middle income,32,August
13,STAR LAURA,9328936,Yuzhny/Pivdennyi,Iran,Corn,60150,8/12/2022,8/14/2022,:ir:,developing,other developing,Lower middle income,32,August
14,SORMOVSKIY 121,8133578,Chornomorsk,Türkiye,Wheat,3050,8/12/2022,8/15/2022,:tr:,developing,other developing,Upper middle income,32,August
15,FULMAR S,9370082,Chornomorsk,Türkiye,Corn,12000,8/13/2022,8/15/2022,:tr:,developing,other developing,Upper middle income,32,August
16,THOE,9400588,Chornomorsk,Türkiye,Sunflower seed,2914,8/13/2022,8/16/2022,:tr:,developing,other developing,Upper middle income,32,August
17,OSPREY S,9300843,Chornomorsk,Türkiye,Corn,11500,8/16/2022,8/18/2022,:tr:,developing,other developing,Upper middle income,33,August
18,BONITA,9231286,Yuzhny/Pivdennyi,Republic of Korea,Corn,60000,8/16/2022,8/18/2022,:kr:,developed,developed,High income,33,August
19,RAMUS,9318400,Chornomorsk,Türkiye,Wheat,6161,8/16/2022,8/19/2022,:tr:,developing,other developing,Upper middle income,33,August
20,BRAVE COMMANDER,9136931,Yuzhny/Pivdennyi,Ethiopia,Wheat,23300,8/16/2022,8/21/2022,:et:,developing,least developed,Low income,33,August
21,PETREL S,9363883,Chornomorsk,The Netherlands,Sunflower meal,18500,8/17/2022,8/19/2022,:nl:,developed,developed,High income,33,August
22,SARA,9259020,Odesa,Türkiye,Corn,8000,8/17/2022,8/19/2022,:tr:,developing,other developing,Upper middle income,33,August
23,EFE,9558763,Odesa,Türkiye,Sunflower oil,7250,8/17/2022,8/19/2022,:tr:,developing,other developing,Upper middle income,33,August
24,PROPUS,9133757,Chornomorsk,Romania,Wheat,9111,8/18/2022,8/19/2022,:ro:,developed,developed,High income,33,August
25,I MARIA,8914697,Chornomorsk,Romania,Corn,27982,8/18/2022,8/22/2022,:ro:,developed,developed,High income,33,August
26,ZUMRUT ANA,9633549,Chornomorsk,Italy,Sunflower oil,6300,8/20/2022,8/22/2022,:it:,developed,developed,High income,33,August
27,OCEAN S,9086320,Chornomorsk,Türkiye,Wheat,25000,8/20/2022,8/22/2022,:tr:,developing,other developing,Upper middle income,33,August
28,FILYOZ,9407213,Chornomorsk,Türkiye,Sunflower oil,5000,8/21/2022,8/23/2022,:tr:,developing,other developing,Upper middle income,33,August
29,DA LIANG,9608415,Chornomorsk,Republic of Korea,Sugar beet pellet,14000,8/21/2022,8/23/2022,:kr:,developed,developed,High income,33,August
30,FOYLE,9317676,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,4300,8/21/2022,8/23/2022,:tr:,developing,other developing,Upper middle income,33,August
31,KUBROSLI Y,8000836,Odesa,Türkiye,Wheat,11000,8/21/2022,8/24/2022,:tr:,developing,other developing,Upper middle income,33,August
32,MARANTA,9206669,Chornomorsk,Greece,Corn,5300,8/22/2022,8/24/2022,:gr:,developed,developed,High income,34,August
33,GREAT ARSENAL,9159062,Chornomorsk,Egypt,Wheat,25500,8/22/2022,8/24/2022,:eg:,developing,other developing,Lower middle income,34,August
34,KAFKAM ETLER,9001112,Chornomorsk,Türkiye,Corn,2437,8/23/2022,8/25/2022,:tr:,developing,other developing,Upper middle income,34,August
35,GANOSAYA,9151400,Odesa,Lebanon,Corn,16500,8/24/2022,8/26/2022,:lb:,developing,other developing,Lower middle income,34,August
36,ZHE HAI 505,9567477,Odesa,The Netherlands,Rapeseed,29600,8/24/2022,8/26/2022,:nl:,developed,developed,High income,34,August
37,BELLIS,9381952,Odesa,Israel,Soya beans,6000,8/25/2022,8/27/2022,:il:,developed,developed,High income,34,August
38,ASCANIOS,9276169,Yuzhny/Pivdennyi,Germany,Corn,58510,8/25/2022,8/27/2022,:de:,developed,developed,High income,34,August
39,MOHAMAD Y,8107000,Odesa,Türkiye,Wheat,11000,8/25/2022,8/27/2022,:tr:,developing,other developing,Upper middle income,34,August
40,AVIVA,9410131,Chornomorsk,India,Sunflower oil,19100,8/26/2022,8/28/2022,:in:,developing,other developing,Lower middle income,34,August
41,SEAEAGLE,9153056,Chornomorsk,Sudan,Wheat,65340,8/26/2022,8/28/2022,:sd:,developing,least developed,Low income,34,August
42,ZELEK STAR,9379117,Chornomorsk,Türkiye,Peas,3700,8/26/2022,8/29/2022,:tr:,developing,other developing,Upper middle income,34,August
43,PRETTY LADY,9223174,Chornomorsk,Egypt,Corn,45000,8/26/2022,8/29/2022,:eg:,developing,other developing,Lower middle income,34,August
44,ADNAN TORLAK,9243253,Chornomorsk,France,Rapeseed,14750,8/27/2022,8/29/2022,:fr:,developed,developed,High income,34,August
45,ORIS SOFI,8920282,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,5900,8/27/2022,8/29/2022,:tr:,developing,other developing,Upper middle income,34,August
46,S BREEZE,9317145,Chornomorsk,Egypt,Corn,44000,8/27/2022,9/1/2022,:eg:,developing,other developing,Lower middle income,34,August
47,SSI INVINCIBLE II,9434747,Chornomorsk,China,Barley,49500,8/28/2022,8/31/2022,:cn:,developing,other developing,Upper middle income,34,August
48,DS SOFIE BULKER,9310604,Odesa,Spain,Barley,27000,8/28/2022,8/31/2022,:es:,developed,developed,High income,34,August
49,SILVER LADY,9279367,Yuzhny/Pivdennyi,Italy,Corn,39494,8/28/2022,8/31/2022,:it:,developed,developed,High income,34,August
50,MELINA,9550424,Yuzhny/Pivdennyi,Romania,Corn,27500,8/28/2022,8/31/2022,:ro:,developed,developed,High income,34,August
51,FPMC B 201 ,9468229,Odesa,Egypt,Wheat,33000,8/28/2022,9/1/2022,:eg:,developing,other developing,Lower middle income,34,August
52,AEOLOS,9228382,Odesa,The Netherlands,Corn,30000,8/28/2022,9/2/2022,:nl:,developed,developed,High income,34,August
53,ASH BALTIC,9606493,Odesa,Egypt,Corn,11000,8/29/2022,9/1/2022,:eg:,developing,other developing,Lower middle income,35,August
54,PEACE M,9086318,Odesa,Romania,Corn,24485,8/29/2022,9/1/2022,:ro:,developed,developed,High income,35,August
55,ANASTASIA,8926121,Chornomorsk,Türkiye,Wheat,3800,8/29/2022,9/4/2022,:tr:,developing,other developing,Upper middle income,35,August
56,SEAJOY,9213820,Chornomorsk,Spain,Corn,64215,8/30/2022,9/1/2022,:es:,developed,developed,High income,35,August
57,SAFFET AGA,9376282,Chornomorsk,Türkiye,Corn,3236,8/30/2022,9/1/2022,:tr:,developing,other developing,Upper middle income,35,August
58,MICHALIS,9545510,Odesa,Spain,Corn,33000,8/30/2022,9/1/2022,:es:,developed,developed,High income,35,August
59,LADY ZEHMA,9303431,Chornomorsk,Italy,Corn,30274,8/30/2022,9/3/2022,:it:,developed,developed,High income,35,August
60,KARTERIA,9236092,Yuzhny/Pivdennyi,Yemen,Wheat,37500,8/30/2022,9/3/2022,:ye:,developing,least developed,Low income,35,August
61,SIMAS,9000314,Odesa,Italy,Wheat,15000,8/30/2022,9/4/2022,:it:,developed,developed,High income,35,August
62,LADY AILLAR,9550278,Yuzhny/Pivdennyi,Spain,Corn,27000,8/31/2022,9/5/2022,:es:,developed,developed,High income,35,August
63,MARAN ASTRONOMER,9581239,Yuzhny/Pivdennyi,The Netherlands,Corn,74500,8/31/2022,9/5/2022,:nl:,developed,developed,High income,35,August
64,DAYTONA DYNAMIC,8914726,Odesa,Türkiye,Corn,25850,9/1/2022,9/4/2022,:tr:,developing,other developing,Upper middle income,35,September
65,HAZAR S,9545467,Chornomorsk,Türkiye,Corn,5500,9/1/2022,9/4/2022,:tr:,developing,other developing,Upper middle income,35,September
66,HELGA,9444912,Odesa,Türkiye,Corn,27000,9/1/2022,9/5/2022,:tr:,developing,other developing,Upper middle income,35,September
67,ENEIDA,9198381,Chornomorsk,Türkiye,Corn,8560,9/1/2022,9/5/2022,:tr:,developing,other developing,Upper middle income,35,September
67,ENEIDA,9198381,Chornomorsk,Türkiye,Wheat,35470,9/1/2022,9/5/2022,:tr:,developing,other developing,Upper middle income,35,September
68,MASSA J,9224867,Yuzhny/Pivdennyi,Somalia,Wheat,28500,9/1/2022,9/7/2022,:so:,developing,least developed,Low income,35,September
69,CANGA STAR,9540039,Chornomorsk,France,Rapeseed,7000,9/2/2022,9/7/2022,:fr:,developed,developed,High income,35,September
70,MAVKA,9284647,Chornomorsk,Romania,Sunflower oil,12500,9/2/2022,9/5/2022,:ro:,developed,developed,High income,35,September
71,SPRING,8408650,Chornomorsk,Türkiye,Wheat,8500,9/2/2022,9/5/2022,:tr:,developing,other developing,Upper middle income,35,September
72,KATSUYAMA,9274678,Chornomorsk,India,Sunflower oil,21000,9/2/2022,9/5/2022,:in:,developing,other developing,Lower middle income,35,September
73,STELLA GS,9363285,Odesa,Israel,Corn,30300,9/2/2022,9/6/2022,:il:,developed,developed,High income,35,September
74,FULMAR S,9370082,Yuzhny/Pivdennyi,Bulgaria,Sunflower meal,9835,9/2/2022,9/5/2022,:bg:,developed,developed,Upper middle income,35,September
75,SARA,9259020,Odesa,Türkiye,Wheat,6600,9/3/2022,9/7/2022,:tr:,developing,other developing,Upper middle income,35,September
76,LADY EVA,9008110,Chornomorsk,Greece,Wheat,6117,9/4/2022,9/7/2022,:gr:,developed,developed,High income,35,September
77,CANOPUS,9401025,Yuzhny/Pivdennyi,India,Sunflower oil,42000,9/4/2022,9/6/2022,:in:,developing,other developing,Lower middle income,35,September
78,SEA DOLPHIN C,9486427,Yuzhny/Pivdennyi,The Netherlands,Rapeseed,31098,9/4/2022,9/6/2022,:nl:,developed,developed,High income,35,September
79,SEALOCK,8218380,Chornomorsk,Türkiye,Peas,2070,9/4/2022,9/9/2022,:tr:,developing,other developing,Upper middle income,35,September
80,MUBARIZ IBRAHIMOV,9575292,Odesa,Türkiye,Sunflower oil,6600,9/4/2022,9/9/2022,:tr:,developing,other developing,Upper middle income,35,September
81,MAINA,9699892,Yuzhny/Pivdennyi,Spain,Corn,56500,9/4/2022,9/7/2022,:es:,developed,developed,High income,35,September
82,GEN. POLAD HASHIMOV,9575307,Chornomorsk,Türkiye,Sunflower oil,6450,9/4/2022,9/7/2022,:tr:,developing,other developing,Upper middle income,35,September
83,BC CALLISTO,9400916,Chornomorsk,Egypt,Wheat,31400,9/4/2022,9/9/2022,:eg:,developing,other developing,Lower middle income,35,September
84,MRC LINA,9462299,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,7800,9/4/2022,9/7/2022,:tr:,developing,other developing,Upper middle income,35,September
85,LADY PERLA,9149732,Yuzhny/Pivdennyi,Italy,Corn,20500,9/4/2022,9/7/2022,:it:,developed,developed,High income,35,September
86,AFANASIY MATYSHENKO,8227783,Chornomorsk,Türkiye,Wheat,3000,9/4/2022,9/9/2022,:tr:,developing,other developing,Upper middle income,35,September
87,NORD VIRGO,9711937,Yuzhny/Pivdennyi,China,Corn,62340,9/4/2022,9/9/2022,:cn:,developing,other developing,Upper middle income,35,September
88,GOLDEN YARA,8915299,Yuzhny/Pivdennyi,Türkiye,Wheat,13500,9/5/2022,9/10/2022,:tr:,developing,other developing,Upper middle income,36,September
89,MY MERAY,9000302,Chornomorsk,Egypt,Corn,30000,9/5/2022,9/10/2022,:eg:,developing,other developing,Lower middle income,36,September
90,BARON,7352476,Odesa,Türkiye,Corn,5750,9/5/2022,9/10/2022,:tr:,developing,other developing,Upper middle income,36,September
91,IRMGARD,9590967,Odesa,Türkiye,Wheat,27500,9/6/2022,9/11/2022,:tr:,developing,other developing,Upper middle income,36,September
91,IRMGARD,9590967,Odesa,Türkiye,Corn,7179,9/6/2022,9/11/2022,:tr:,developing,other developing,Upper middle income,36,September
92,QUEEN SARA,9132507,Chornomorsk,Egypt,Corn,11091,9/6/2022,9/11/2022,:eg:,developing,other developing,Lower middle income,36,September
93,ORIS PRINCESS,9119907,Chornomorsk,Israel,Sunflower meal,4510,9/6/2022,9/12/2022,:il:,developed,developed,High income,36,September
94,NEW LEVANT,9111371,Odesa,Türkiye,Wheat,26500,9/6/2022,9/10/2022,:tr:,developing,other developing,Upper middle income,36,September
95,VITIS,9000613,Yuzhny/Pivdennyi,Italy,Sunflower oil,5800,9/6/2022,9/10/2022,:it:,developed,developed,High income,36,September
96,OCMIS ADVENTURE,8919831,Yuzhny/Pivdennyi,Greece,Corn,4862,9/6/2022,9/10/2022,:gr:,developed,developed,High income,36,September
97,SEAGUARDIAN ,9174268,Yuzhny/Pivdennyi,Spain,Sunflower meal,8640,9/7/2022,9/12/2022,:es:,developed,developed,High income,36,September
97,SEAGUARDIAN ,9174268,Yuzhny/Pivdennyi,Spain,Barley,34071,9/7/2022,9/12/2022,:es:,developed,developed,High income,36,September
97,SEAGUARDIAN ,9174268,Yuzhny/Pivdennyi,Spain,Wheat,20095,9/7/2022,9/12/2022,:es:,developed,developed,High income,36,September
98,SUPER HENRY,9407483,Odesa,Kenya,Wheat,51400,9/7/2022,9/22/2022,:ke:,developing,other developing,Lower middle income,36,September
99,ELIANA,9327310,Chornomorsk,Türkiye,Sunflower oil,5200,9/7/2022,9/11/2022,:tr:,developing,other developing,Upper middle income,36,September
100,KAPTAN CEVDET,9005895,Chornomorsk,Türkiye,Soya beans,2472,9/7/2022,9/12/2022,:tr:,developing,other developing,Upper middle income,36,September
101,JASMIN QUEEN,9109861,Odesa,Türkiye,Corn,9531,9/8/2022,9/12/2022,:tr:,developing,other developing,Upper middle income,36,September
102,CAPTAIN ADAM 1,8914087,Chornomorsk,Türkiye,Wheat,9300,9/8/2022,9/12/2022,:tr:,developing,other developing,Upper middle income,36,September
103,DIGNITY,9118238,Chornomorsk,Türkiye,Sunflower seed,8200,9/8/2022,9/12/2022,:tr:,developing,other developing,Upper middle income,36,September
104,FILYOZ,9407213,Odesa,Türkiye,Sunflower oil,4410,9/8/2022,9/12/2022,:tr:,developing,other developing,Upper middle income,36,September
105,SANTANA,9449388,Odesa,Italy,Wheat,10000,9/8/2022,9/12/2022,:it:,developed,developed,High income,36,September
106,KIRAN AMERICA,9491264,Chornomorsk,China,Barley,30000,9/9/2022,9/14/2022,:cn:,developing,other developing,Upper middle income,36,September
106,KIRAN AMERICA,9491264,Chornomorsk,China,Corn,20000,9/9/2022,9/14/2022,:cn:,developing,other developing,Upper middle income,36,September
107,SUPER BAYERN,9278911,Yuzhny/Pivdennyi,Egypt,Corn,33000,9/9/2022,9/13/2022,:eg:,developing,other developing,Lower middle income,36,September
108,SEVIL,9148518,Chornomorsk,Romania,Rapeseed,4700,9/9/2022,9/13/2022,:ro:,developed,developed,High income,36,September
109,EAUBONNE,9663104,Odesa,Spain,Corn,32794,9/10/2022,9/16/2022,:es:,developed,developed,High income,36,September
109,EAUBONNE,9663104,Odesa,Spain,Wheat,13853,9/10/2022,9/16/2022,:es:,developed,developed,High income,36,September
109,EAUBONNE,9663104,Odesa,Spain,Barley,10853,9/10/2022,9/16/2022,:es:,developed,developed,High income,36,September
110,LUCKY,9037305,Yuzhny/Pivdennyi,Greece,Corn,6000,9/10/2022,9/14/2022,:gr:,developed,developed,High income,36,September
110,LUCKY,9037305,Yuzhny/Pivdennyi,Greece,Barley,4400,9/10/2022,9/14/2022,:gr:,developed,developed,High income,36,September
111,PRINCESS AMNAH,9008067,Chornomorsk,Italy,Wheat,6000,9/10/2022,9/13/2022,:it:,developed,developed,High income,36,September
112,A LINE,9246920,Chornomorsk,Egypt,Corn,10700,9/10/2022,9/13/2022,:eg:,developing,other developing,Lower middle income,36,September
113,LADY SHAM,9171383,Odesa,Italy,Sunflower seed,5600,9/10/2022,9/14/2022,:it:,developed,developed,High income,36,September
114,BRIZA,9286815,Chornomorsk,Greece,Corn,6500,9/11/2022,9/15/2022,:gr:,developed,developed,High income,36,September
115,MAGNOLIA,9575333,Chornomorsk,Türkiye,Sunflower oil,6600,9/11/2022,9/16/2022,:tr:,developing,other developing,Upper middle income,36,September
116,S-BRILLIANT,9275323,Chornomorsk,The Netherlands,Rapeseed,40220,9/11/2022,9/15/2022,:nl:,developed,developed,High income,36,September
117,AHMET CAN,9368182,Chornomorsk,Türkiye,Wheat bran pellets,2800,9/12/2022,9/16/2022,:tr:,developing,other developing,Upper middle income,37,September
118,SALLY M,9152844,Chornomorsk,Lebanon,Corn,6857,9/12/2022,9/17/2022,:lb:,developing,other developing,Lower middle income,37,September
119,NORD STARK,9691591,Chornomorsk,Spain,Wheat,27500,9/12/2022,9/17/2022,:es:,developed,developed,High income,37,September
120,ORIS SOFI,8920282,Odesa,Türkiye,Sunflower oil,3026,9/12/2022,9/15/2022,:tr:,developing,other developing,Upper middle income,37,September
120,ORIS SOFI,8920282,Odesa,Lebanon,Sunflower oil,2973,9/12/2022,9/15/2022,:lb:,developing,other developing,Lower middle income,37,September
121,HADAR,9615028,Yuzhny/Pivdennyi,Italy,Wheat,23500,9/12/2022,9/16/2022,:it:,developed,developed,High income,37,September
121,HADAR,9615028,Yuzhny/Pivdennyi,Italy,Corn,3500,9/12/2022,9/16/2022,:it:,developed,developed,High income,37,September
122,WIN SINO,9278519,Yuzhny/Pivdennyi,India,Sunflower oil,43500,9/12/2022,9/17/2022,:in:,developing,other developing,Lower middle income,37,September
123,SUPER SAKA,9456551,Odesa,Spain,Wheat,29000,9/13/2022,9/18/2022,:es:,developed,developed,High income,37,September
123,SUPER SAKA,9456551,Odesa,Spain,Corn,21000,9/13/2022,9/18/2022,:es:,developed,developed,High income,37,September
124,YASA TEAM,9296250,Yuzhny/Pivdennyi,Israel,Corn,64951,9/13/2022,9/18/2022,:il:,developed,developed,High income,37,September
125,PROPUS,9133757,Odesa,Türkiye,Corn,8500,9/13/2022,9/18/2022,:tr:,developing,other developing,Upper middle income,37,September
126,FANARIA,9228241,Odesa,Spain,Wheat,18000,9/13/2022,9/17/2022,:es:,developed,developed,High income,37,September
127,SAFFET AGA,9376282,Odesa,Türkiye,Soya beans,3300,9/13/2022,9/18/2022,:tr:,developing,other developing,Upper middle income,37,September
128,ATA OCEAN,9519614,Yuzhny/Pivdennyi,Türkiye,Sunflower oil,6300,9/13/2022,9/18/2022,:tr:,developing,other developing,Upper middle income,37,September
129,GREIFSWALD,8311912,Chornomorsk,Türkiye,Corn,492,9/13/2022,9/18/2022,:tr:,developing,other developing,Upper middle income,37,September
130,TAMREY S,9171541,Odesa,Italy,Corn,18100,9/14/2022,9/22/2022,:it:,developed,developed,High income,37,September
130,TAMREY S,9171541,Odesa,Italy,Soya beans,5500,9/14/2022,9/22/2022,:it:,developed,developed,High income,37,September
130,TAMREY S,9171541,Odesa,Italy,Wheat,5400,9/14/2022,9/22/2022,:it:,developed,developed,High income,37,September
131,MARANTA,9206669,Odesa,Italy,Soya beans,5300,9/14/2022,9/18/2022,:it:,developed,developed,High income,37,September
132,CPT DIMITRIOS S,9221592,Yuzhny/Pivdennyi,Spain,Corn,56800,9/14/2022,9/19/2022,:es:,developed,developed,High income,37,September
132,CPT DIMITRIOS S,9221592,Yuzhny/Pivdennyi,Spain,Barley,8543,9/14/2022,9/19/2022,:es:,developed,developed,High income,37,September
133,T-MED,9163142,Yuzhny/Pivdennyi,Türkiye,Wheat,5500,9/14/2022,9/19/2022,:tr:,developing,other developing,Upper middle income,37,September
